id,color,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock
162,White,False,Brick,Square,2x2,4,True,45.0,1
163,Green,False,Brick,Rectangle,1x2,1,True,45.0,1
164,Green,True,Brick,Rectangle,2x4,8,False,0.0,1
165,Red,True,Brick,Rectangle,2x4,8,False,0.0,1
166,Blue,True,Brick,Square,2x2,4,False,0.0,1
167,Purple,True,Brick,Square,2x2,4,False,0.0,1
168,Yellow,True,Brick,Square,2x2,4,False,0.0,1
169,Light Green,False,Plate,Rectangle,2x8,16,False,0.0,1
170,Red,False,Plate,Rectangle,4x6,24,False,0.0,1
171,White,False,Plate,Rectangle,2x4,8,False,0.0,1
172,Black,False,Plate,Rectangle,2x8,16,False,0.0,1
173,White,False,Plate,Rectangle,2x4,8,False,0.0,1
174,Grey,False,Plate,Square,2x2,4,False,0.0,1
175,Yellow,False,Plate,Rectangle,1x4,4,False,0.0,1
176,Blue,False,Brick,Rectangle,2x6,12,False,0.0,1
177,Black,False,Plate,Square,2x2,2,False,0.0,1
178,Green,False,Brick,Rectangle,2x6,6,False,0.0,1
179,Yellow,False,Plate,Rectangle,1x3,0,False,0.0,1
180,Beige,False,Brick,Rectangle,1x3,3,False,0.0,1
181,Purple,False,Brick,Square,2x2,4,False,0.0,1
182,Yellow,False,Brick,Rectangle,2x4,8,False,0.0,1
183,Beige,False,Plate,Rectangle,2x4,6,False,0.0,1
184,Sky Blue,False,Plate,Circle,4x4,12,False,0.0,1
185,Deep Blue,False,Brick,Rectangle,1x2,2,False,0.0,1
186,Pink,False,Brick,Rectangle,1x2,2,False,0.0,1
187,Grey,False,Plate,Square,1x1,0,False,0.0,1
188,Light Green,False,Brick,Square,1x2,2,True,45.0,1
189,Sky Blue,False,Brick,Square,2x2,4,True,45.0,1
190,Purple,False,Plate,Square,1x1,0,False,0.0,1
191,Pink,False,Brick,Rectangle,1x2,1,True,45.0,1
192,Green,False,Plate,Rectangle,1x4,0,False,0.0,1
193,Purple,False,Plate,Rectangle,1x2,2,False,0.0,1
194,Brown,False,Brick,Rectangle,1x2,2,True,45.0,1
195,Sky Blue,False,Brick,Square,1x1,1,False,0.0,1
196,Grey,False,Plate,Circle,2x2,4,False,0.0,1
197,Dark Blue,False,Plate,Trapezium,1x4,4,False,0.0,1
198,Transparent Yellow,False,Plate,Rectangle,1x2,2,False,0.0,1
199,Black,False,Brick,Circle,2x2,4,False,0.0,1
200,Transparent Orange,False,Plate,Square,1x1,0,False,0.0,1
201,Blck,False,Plate,Trapezium,2x2,4,False,0.0,1
202,Yellow,False,Plate,Rectangle,1x2,0,False,0.0,1
203,Transparent Sky Blue,False,Plate,Circle,1x1,0,False,0.0,1
204,Transparent Yellow,False,Plate,Circle,1x1,0,False,0.0,1
