name,artist,html,dbscan_cluster,playlist_name
Johnny B. Goode                                                                                                                                                                  ,Chuck Berry                                     ,https://open.spotify.com/track/3BUQFs6aFWh7EFNmI8bfL7,1,Feel Good Pop
Vagabund                                                                                                                                                                         ,Bausa                                           ,https://open.spotify.com/track/3yhaXZury9ZUpfXvdvuWiB,1,Feel Good Pop
It Doesn't Matter Anymore                                                                                                                                                        ,Buddy Holly                                     ,https://open.spotify.com/track/7KGbqCYWaXdJxhsuilkcwF,1,Feel Good Pop
Personality                                                                                                                                                                      ,Lloyd Price                                     ,https://open.spotify.com/track/5vjigjfoXuJEttqLB3HTAg,1,Feel Good Pop
It's Only Make Believe - Single Version                                                                                                                                          ,Conway Twitty                                   ,https://open.spotify.com/track/6Em0JcoORXzv0BGfxAacpv,1,Feel Good Pop
Baby (You've Got What It Takes)                                                                                                                                                  ,Dinah Washington                                ,https://open.spotify.com/track/3iskX6pzPZOyUNoVCQ7oMz,1,Feel Good Pop
The Way I Are (Dance with Somebody) - DallasK Remix                                                                                                                              ,Bebe Rexha                                      ,https://open.spotify.com/track/3WvtMbFO1O1Nv4UbG7AnoW,1,Feel Good Pop
Raise Your Glass                                                                                                                                                                 ,P!nk                                            ,https://open.spotify.com/track/05qq6mwIbG1ZsQhlMKyDwN,1,Feel Good Pop
Nie allein                                                                                                                                                                       ,TEY                                             ,https://open.spotify.com/track/7FwF5Zz32THN7E95udMxRk,1,Feel Good Pop
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)                                                                                                                             ",Pitbull                                         ,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W,1,Feel Good Pop
I Gotta Feeling                                                                                                                                                                  ,Black Eyed Peas                                 ,https://open.spotify.com/track/70cTMpcgWMcR18t9MRJFjB,1,Feel Good Pop
Too Close (with Wrabel)                                                                                                                                                          ,Louis The Child                                 ,https://open.spotify.com/track/2B5uUYyiDpFCgEGdbVpOZj,1,Feel Good Pop
Cordula Grün                                                                                                                                                                     ,Josh.                                           ,https://open.spotify.com/track/483ykNWhSQXYprueXUMNeo,1,Feel Good Pop
All Shook Up                                                                                                                                                                     ,Elvis Presley                                   ,https://open.spotify.com/track/5ueyLj6e6oVaTY0KQ6yLaA,1,Feel Good Pop
I've Got You Under My Skin - Remastered 1998                                                                                                                                     ,Frank Sinatra                                   ,https://open.spotify.com/track/3aEJMh1cXKEjgh52claxQp,1,Feel Good Pop
Smoke Gets In Your Eyes                                                                                                                                                          ,The Platters                                    ,https://open.spotify.com/track/307XEC1IUwUs9ojlEFwH7f,1,Feel Good Pop
"What'd I Say, Pt. 1 & 2                                                                                                                                                        ",Ray Charles                                     ,https://open.spotify.com/track/5yQ9iMZXGcr5rlO4hoLsP4,1,Feel Good Pop
Dream A Little Dream Of Me                                                                                                                                                       ,Ella Fitzgerald                                 ,https://open.spotify.com/track/3vFVS2WYHDG4KkWCNecvpn,1,Feel Good Pop
That'll Be The Day                                                                                                                                                               ,Buddy Holly                                     ,https://open.spotify.com/track/50RwvvEKX5Q7AZt8FTAwIF,1,Feel Good Pop
Blueberry Hill                                                                                                                                                                   ,Fats Domino                                     ,https://open.spotify.com/track/06PdA0DLgF4BfAeUNZAbFG,1,Feel Good Pop
Tausend Tattoos                                                                                                                                                                  ,Sido                                            ,https://open.spotify.com/track/1rGZd7EVl4aOClpzDLNPwy,1,Feel Good Pop
All I Have to Do Is Dream                                                                                                                                                        ,The Everly Brothers                             ,https://open.spotify.com/track/72nqbbrKjhXmDdRXQGq115,1,Feel Good Pop
Sea Of Love                                                                                                                                                                      ,Phil Phillips                                   ,https://open.spotify.com/track/14T8UhqU8EaJpp3tRxqJbr,1,Feel Good Pop
I’m Ready (with Demi Lovato)                                                                                                                                                     ,Sam Smith                                       ,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY,1,Feel Good Pop
True Love Ways                                                                                                                                                                   ,Buddy Holly                                     ,https://open.spotify.com/track/7ljPNANyoIDc7sL0PWaJlu,1,Feel Good Pop
Regenbogenfarben                                                                                                                                                                 ,Kerstin Ott                                     ,https://open.spotify.com/track/5QrQGn6H1L2NEPyjDCxTXq,1,Feel Good Pop
Wannabe                                                                                                                                                                          ,Spice Girls                                     ,https://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT,1,Feel Good Pop
Don't Let Me Down                                                                                                                                                                ,The Chainsmokers                                ,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK,1,Feel Good Pop
Scars To Your Beautiful                                                                                                                                                          ,Alessia Cara                                    ,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq,1,Feel Good Pop
Sun Is Shining                                                                                                                                                                   ,Axwell /\ Ingrosso                              ,https://open.spotify.com/track/5kBHjpK4YGXVnOMXDUDjgX,1,Feel Good Pop
