Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform_Family
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Tecmo Koei,0.0,0.0,0.29,0.0,0.29,Nintendo
Power Pro Kun Pocket 11,DS,2008,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29,Nintendo
El Shaddai: Ascension of the Metatron,PS3,2011,Action,Ignition Entertainment,0.11,0.07,0.08,0.03,0.29,PlayStation
Family Guy: Back to the Multiverse,PS3,2012,Action,Activision,0.12,0.12,0.0,0.05,0.29,PlayStation
Spyro: A Hero's Tail,GC,2004,Platform,Vivendi Games,0.22,0.06,0.0,0.01,0.29,Nintendo
Warriors Orochi 2,PSP,2008,Action,Tecmo Koei,0.06,0.0,0.22,0.01,0.29,PlayStation
Ratatouille: Food Frenzy,DS,2007,Puzzle,THQ,0.26,0.0,0.0,0.02,0.29,Nintendo
Links 2004,XB,2003,Sports,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.29,Xbox
PGA Tour 97,PS,1996,Sports,Electronic Arts,0.16,0.11,0.0,0.02,0.29,PlayStation
Bratz: Super Babyz,DS,2008,Action,THQ,0.26,0.0,0.0,0.02,0.29,Nintendo
Battle & Get! Pokemon Typing DS,DS,2011,Misc,Nintendo,0.0,0.0,0.29,0.0,0.29,Nintendo
Kung Zhu,DS,2010,Action,Activision,0.26,0.0,0.0,0.02,0.29,Nintendo
Earthworm Jim,GBA,2001,Platform,Interplay,0.2,0.08,0.0,0.01,0.29,Nintendo
Tales of Phantasia,GBA,2003,Role-Playing,Nintendo,0.08,0.03,0.17,0.01,0.29,Nintendo
The Golden Compass,PS3,2007,Action,Sega,0.14,0.1,0.0,0.05,0.29,PlayStation
F1 Race Stars,X360,2012,Racing,Codemasters,0.07,0.18,0.0,0.03,0.29,Xbox
All Star Cheer Squad,DS,2008,Sports,THQ,0.26,0.0,0.0,0.02,0.28,Nintendo
Rugby World Cup 2011,X360,2011,Sports,505 Games,0.03,0.21,0.0,0.04,0.28,Xbox
Ice Age: Dawn of the Dinosaurs,Wii,2009,Action,Activision,0.11,0.14,0.0,0.03,0.28,Nintendo
Monster 4x4: Masters of Metal,PS2,2003,Racing,Ubisoft,0.14,0.11,0.0,0.04,0.28,PlayStation
SingStar Country,PS2,2008,Misc,Sony Computer Entertainment,0.14,0.11,0.0,0.04,0.28,PlayStation
DeathSmiles,X360,2009,Shooter,Rising Star Games,0.15,0.06,0.05,0.02,0.28,Xbox
VMX Racing,PS,1997,Racing,Playmates,0.16,0.11,0.0,0.02,0.28,PlayStation
Hot Shots Golf: World Invitational,PS3,2012,Sports,Sony Computer Entertainment,0.0,0.0,0.28,0.0,0.28,PlayStation
Disney's Extreme Skate Adventure,GBA,2003,Sports,Activision,0.2,0.08,0.0,0.01,0.28,Nintendo
Dragon Ball GT: Transformation,GBA,2005,Action,Atari,0.2,0.08,0.0,0.01,0.28,Nintendo
Bratz Ponyz,DS,2007,Adventure,Game Factory,0.26,0.0,0.0,0.02,0.28,Nintendo
Super Fire ProWrestling X,SNES,1995,Fighting,Human Entertainment,0.0,0.0,0.28,0.0,0.28,Nintendo
Baby Pals,DS,2007,Simulation,THQ,0.26,0.01,0.0,0.02,0.28,Nintendo
International Superstar Soccer,SNES,1994,Sports,Konami Digital Entertainment,0.0,0.0,0.28,0.0,0.28,Nintendo
Metal Gear Solid V: Ground Zeroes,XOne,2014,Action,Konami Digital Entertainment,0.15,0.11,0.0,0.02,0.28,Xbox
Tigger's Honey Hunt,PS,2000,Platform,Ubisoft,0.16,0.11,0.0,0.02,0.28,PlayStation
The Warriors,XB,2005,Action,Take-Two Interactive,0.21,0.06,0.0,0.01,0.28,Xbox
Monopoly Streets,X360,2010,Misc,Electronic Arts,0.16,0.1,0.0,0.03,0.28,Xbox
Shadow Hearts,PS2,2001,Role-Playing,Midway Games,0.09,0.07,0.1,0.02,0.28,PlayStation
NHL 2K11,Wii,2010,Sports,Take-Two Interactive,0.24,0.02,0.0,0.02,0.28,Nintendo
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.1,0.08,0.07,0.04,0.28,PlayStation
Street Hoops,XB,2002,Sports,Activision,0.21,0.06,0.0,0.01,0.28,Xbox
Yu-Gi-Oh! Double Pack,GBA,2006,Role-Playing,Konami Digital Entertainment,0.2,0.08,0.0,0.01,0.28,Nintendo
X-Men: Reign of Apocalypse,GBA,2001,Action,Activision,0.2,0.08,0.0,0.01,0.28,Nintendo
R: Racing Evolution,PS2,2003,Racing,Namco Bandai Games,0.14,0.11,0.0,0.04,0.28,PlayStation
Tony Hawk: Shred,PS3,2010,Sports,Activision,0.18,0.07,0.0,0.04,0.28,PlayStation
Netsu Chu! Pro Yakyuu 2003,PS2,2003,Sports,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,PlayStation
ATV Quad Power Racing 2,GC,2003,Racing,Acclaim Entertainment,0.22,0.06,0.0,0.01,0.28,Nintendo
Digimon Adventure: Anode Tamer,WS,1999,Role-Playing,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,Other
Fantastic 4: Flame On,GBA,2005,Action,Activision,0.2,0.08,0.0,0.01,0.28,Nintendo
Siren: Blood Curse,PS3,2008,Action,Sony Computer Entertainment,0.0,0.17,0.09,0.02,0.28,PlayStation
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.01,0.16,0.09,0.03,0.28,PlayStation
Chromehounds,X360,2006,Simulation,Sega,0.24,0.0,0.01,0.02,0.28,Xbox
Marvel Nemesis: Rise of the Imperfects,XB,2005,Fighting,Electronic Arts,0.21,0.06,0.0,0.01,0.28,Xbox
The King of Fighters '95,SAT,1995,Fighting,SNK Playmore,0.0,0.0,0.28,0.0,0.28,Sega
Pirates of the Caribbean: Dead Man's Chest,PSP,2006,Adventure,Disney Interactive Studios,0.25,0.01,0.0,0.02,0.28,PlayStation
Assassin's Creed II: Discovery,DS,2009,Action,Ubisoft,0.15,0.11,0.0,0.03,0.28,Nintendo
F/A-18F Super Hornet,GBA,2004,Simulation,Majesco Entertainment,0.2,0.08,0.0,0.01,0.28,Nintendo
Avatar: The Last Airbender,Wii,2006,Adventure,THQ,0.24,0.02,0.0,0.02,0.28,Nintendo
Final Fantasy VI Advance,GBA,2006,Role-Playing,Nintendo,0.0,0.0,0.28,0.01,0.28,Nintendo
Polaris,2600,1982,Action,Tigervision,0.26,0.02,0.0,0.0,0.28,Atari
Viewtiful Joe,PS2,2004,Action,Capcom,0.14,0.11,0.0,0.04,0.28,PlayStation
Triple Play 2000,N64,1999,Sports,Electronic Arts,0.27,0.01,0.0,0.0,0.28,Nintendo
Beyblade: Metal Masters,DS,2010,Action,Konami Digital Entertainment,0.16,0.1,0.0,0.03,0.28,Nintendo
Need for Speed: Most Wanted,WiiU,2013,Racing,Electronic Arts,0.14,0.12,0.0,0.02,0.28,Nintendo
Arcade Hits: Frisky Tom,PS,2002,Action,Hamster Corporation,0.16,0.11,0.0,0.02,0.28,PlayStation
Dead to Rights: Retribution,PS3,2010,Shooter,Namco Bandai Games,0.1,0.12,0.02,0.05,0.28,PlayStation
Harry Potter and the Sorcerer's Stone,PS2,2003,Action,Electronic Arts,0.14,0.11,0.0,0.04,0.28,PlayStation
Kung Fu Chaos,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.28,Xbox
Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,Nintendo
Yu-Gi-Oh! World Championship 2008,DS,2007,Strategy,Konami Digital Entertainment,0.13,0.02,0.12,0.01,0.28,Nintendo
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.19,0.06,0.0,0.03,0.28,Xbox
Godzilla: Domination!,GBA,2002,Fighting,Atari,0.2,0.07,0.0,0.01,0.28,Nintendo
Sly Cooper: Thieves in Time,PSV,2013,Platform,Sony Computer Entertainment Europe,0.16,0.06,0.0,0.05,0.28,PlayStation
Tales of the World: Radiant Mythology 3,PSP,2011,Role-Playing,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,PlayStation
Famista '92,NES,1991,Sports,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,Nintendo
Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002,Misc,Sammy Corporation,0.0,0.0,0.28,0.0,0.28,PlayStation
Jackass the Game,PS2,2007,Action,Empire Interactive,0.14,0.11,0.0,0.04,0.28,PlayStation
Mega Man II,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,Nintendo
Lord of Darkness,SNES,1991,Action,Tecmo Koei,0.0,0.0,0.28,0.0,0.28,Nintendo
Hannah Montana: Spotlight World Tour,PS2,2008,Action,Disney Interactive Studios,0.12,0.02,0.0,0.14,0.28,PlayStation
Rocket Power: Beach Bandits,GBA,2002,Platform,THQ,0.2,0.07,0.0,0.01,0.28,Nintendo
Surf's Up,DS,2007,Sports,Ubisoft,0.26,0.0,0.0,0.02,0.28,Nintendo
Carol Vorderman's Sudoku,PS2,2006,Puzzle,Xplosiv,0.0,0.23,0.0,0.05,0.28,PlayStation
MX SuperFly featuring Ricky Carmichael,PS2,2002,Racing,THQ,0.14,0.11,0.0,0.04,0.28,PlayStation
Remington Super Slam Hunting: Africa,Wii,2010,Sports,Mastiff,0.27,0.0,0.0,0.02,0.28,Nintendo
Army of Two: The Devil's Cartel,PS3,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28,PlayStation
Syphon Filter: Dark Mirror,PS2,2007,Shooter,Sony Computer Entertainment,0.14,0.11,0.0,0.04,0.28,PlayStation
Conflict: Desert Storm II - Back to Bagdhad,XB,2003,Shooter,SCi,0.21,0.06,0.0,0.01,0.28,Xbox
Guitar Hero Live,PS3,2015,Misc,Activision,0.09,0.14,0.0,0.05,0.28,PlayStation
Mission: Impossible - Operation Surma,PS2,2003,Platform,Atari,0.14,0.11,0.0,0.04,0.28,PlayStation
Sesame Street: Elmo's A-to-Zoo Adventure,DS,2010,Misc,Warner Bros. Interactive Entertainment,0.27,0.0,0.0,0.02,0.28,Nintendo
MLB 07: The Show,PSP,2007,Sports,Sony Computer Entertainment,0.26,0.0,0.0,0.02,0.28,PlayStation
Pitfall: The Mayan Adventure,GBA,2001,Platform,Interplay,0.2,0.07,0.0,0.01,0.28,Nintendo
Driver: Parallel Lines,PS2,2006,Racing,Atari,0.12,0.1,0.03,0.03,0.28,PlayStation
Sing Party,WiiU,2012,Misc,Nintendo,0.13,0.12,0.0,0.02,0.28,Nintendo
Shrek: Ogres & Dronkeys,DS,2007,Simulation,Activision,0.26,0.0,0.0,0.02,0.28,Nintendo
Monopoly,DS,2010,Misc,Electronic Arts,0.16,0.1,0.0,0.03,0.28,Nintendo
Hot Wheels: Track Attack,DS,2010,Racing,THQ,0.18,0.08,0.0,0.02,0.28,Nintendo
Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004,Fighting,Eidos Interactive,0.14,0.11,0.0,0.04,0.28,PlayStation
Virtua Fighter 5 Online,X360,2007,Fighting,Sega,0.2,0.03,0.03,0.02,0.28,Xbox
Disney's Treasure Planet,GBA,2002,Action,Ubisoft,0.2,0.07,0.0,0.01,0.28,Nintendo
Dead or Alive,PS,1998,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28,PlayStation
Wild ARMs 5,PS2,2006,Role-Playing,505 Games,0.14,0.11,0.0,0.04,0.28,PlayStation
Bionic Commando,X360,2009,Platform,Capcom,0.12,0.12,0.01,0.03,0.28,Xbox
NFL Blitz 20-02,PS2,2002,Sports,Midway Games,0.14,0.11,0.0,0.04,0.28,PlayStation
Mega Man 7,SNES,1995,Platform,Laguna,0.03,0.01,0.23,0.01,0.28,Nintendo
NCAA March Madness 2005,XB,2004,Sports,Electronic Arts,0.21,0.06,0.0,0.01,0.28,Xbox
Shadows of the Damned,PS3,2011,Action,Electronic Arts,0.11,0.09,0.04,0.04,0.28,PlayStation
NBA In The Zone,PS,1995,Sports,Konami Digital Entertainment,0.16,0.11,0.0,0.02,0.28,PlayStation
Corvette,GBA,2003,Racing,TDK Mediactive,0.2,0.07,0.0,0.01,0.28,Nintendo
F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0.0,0.0,0.28,0.0,0.28,Nintendo
Just Dance 2015,PS3,2014,Misc,Ubisoft,0.12,0.11,0.0,0.05,0.28,PlayStation
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,2004,Action,THQ,0.22,0.06,0.0,0.01,0.28,Nintendo
Silent Hill 2: Restless Dreams,XB,2001,Action,Konami Digital Entertainment,0.21,0.06,0.0,0.01,0.28,Xbox
Cabela's Big Game Hunter 2012,X360,2011,Sports,Activision,0.24,0.02,0.0,0.02,0.28,Xbox
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,Square Enix,0.0,0.0,0.28,0.0,0.28,PlayStation
Moshi Monsters: Moshlings Theme Park,3DS,2012,Misc,Activision,0.13,0.13,0.0,0.03,0.28,Nintendo
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0.0,0.21,0.03,0.03,0.28,PlayStation
Soul Nomad & the World Eaters,PS2,2007,Role-Playing,Tecmo Koei,0.14,0.11,0.0,0.04,0.28,PlayStation
RollerCoaster Tycoon 3,PC,2004,Strategy,Atari,0.01,0.22,0.0,0.05,0.28,PC
Bass Strike,PS2,2001,Sports,THQ,0.14,0.11,0.0,0.04,0.28,PlayStation
NHL Hitz 20-03,PS2,2002,Sports,Midway Games,0.14,0.11,0.0,0.04,0.28,PlayStation
Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,Nippon Ichi Software,0.1,0.03,0.12,0.04,0.28,PlayStation
Over the Hedge,DS,2006,Platform,Activision,0.25,0.01,0.0,0.02,0.28,Nintendo
Real Pool,PS2,2000,Sports,Midas Interactive Entertainment,0.14,0.11,0.0,0.04,0.28,PlayStation
iCarly 2: iJoin The Click!,DS,2010,Adventure,Activision,0.26,0.01,0.0,0.02,0.28,Nintendo
The Warriors,PSP,2007,Action,Take-Two Interactive,0.23,0.02,0.0,0.03,0.28,PlayStation
Mister Mosquito,PS2,2001,Shooter,Eidos Interactive,0.05,0.04,0.17,0.01,0.28,PlayStation
Kakyuusei,SAT,1997,Strategy,Elf,0.0,0.0,0.28,0.0,0.28,Sega
Patapon 3,PSP,2011,Misc,Sony Computer Entertainment,0.05,0.04,0.17,0.02,0.28,PlayStation
Sesame Street: Cookie's Counting Carnival,DS,2010,Misc,Warner Bros. Interactive Entertainment,0.26,0.0,0.0,0.02,0.28,Nintendo
Civilization II,PS,1998,Strategy,Activision,0.15,0.11,0.0,0.02,0.28,PlayStation
Guitar Hero: Van Halen,PS3,2009,Misc,Activision,0.14,0.09,0.0,0.04,0.28,PlayStation
Dynasty Warriors: Gundam,PS2,2008,Action,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,PlayStation
Madagascar,XB,2005,Platform,Activision,0.21,0.06,0.0,0.01,0.28,Xbox
Transformers: Cybertron Adventures,Wii,2010,Action,Activision,0.15,0.1,0.0,0.03,0.28,Nintendo
Indiana Jones and the Staff of Kings,PS2,2009,Action,Activision,0.11,0.01,0.0,0.16,0.28,PlayStation
F-1 Grand Prix,SNES,1992,Racing,Video System,0.0,0.0,0.28,0.0,0.28,Nintendo
Mass Effect 3,WiiU,2012,Role-Playing,Electronic Arts,0.14,0.11,0.0,0.02,0.28,Nintendo
Pinkalicious,DS,2011,Misc,GameMill Entertainment,0.26,0.0,0.0,0.02,0.28,Nintendo
SimCity 2000,SAT,1994,Simulation,Sega,0.0,0.0,0.28,0.0,0.28,Sega
Deer Hunter,PS2,2003,Sports,Atari,0.14,0.11,0.0,0.04,0.28,PlayStation
Pokemon Box: Ruby & Sapphire,GC,2003,Misc,Nintendo,0.0,0.0,0.27,0.01,0.28,Nintendo
Puyo Puyo! 15th Anniversary,DS,2006,Puzzle,Sega,0.0,0.0,0.28,0.0,0.28,Nintendo
Yu-Gi-Oh! Monster Capsule Breed & Battle,PS,1998,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.26,0.02,0.28,PlayStation
FIFA Soccer 07,X360,2006,Sports,Electronic Arts,0.24,0.01,0.0,0.02,0.28,Xbox
Mass Effect Trilogy,PC,2012,Action,Electronic Arts,0.09,0.16,0.0,0.03,0.28,PC
Dave Mirra Freestyle BMX 2,GC,2001,Sports,Acclaim Entertainment,0.21,0.06,0.0,0.01,0.28,Nintendo
AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,MTV Games,0.25,0.0,0.0,0.02,0.28,Nintendo
My Japanese Coach,DS,2008,Misc,Ubisoft,0.25,0.0,0.0,0.02,0.28,Nintendo
Puppeteer,PS3,2013,Platform,Sony Computer Entertainment Europe,0.11,0.1,0.02,0.04,0.28,PlayStation
Warpath: Jurassic Park,PS,1998,Fighting,Electronic Arts,0.15,0.1,0.0,0.02,0.28,PlayStation
Tak and the Guardians of Gross,PS2,2008,Action,THQ,0.14,0.11,0.0,0.04,0.28,PlayStation
True Crime: New York City,XB,2005,Action,Activision,0.21,0.06,0.0,0.01,0.28,Xbox
Summer Heat Beach Volleyball,PS2,2003,Sports,Acclaim Entertainment,0.14,0.11,0.0,0.04,0.28,PlayStation
NCAA Basketball 09,PS2,2008,Sports,Electronic Arts,0.14,0.11,0.0,0.04,0.28,PlayStation
One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Wii,2008,Adventure,Namco Bandai Games,0.0,0.07,0.19,0.01,0.28,Nintendo
Marvel Super Hero Squad: The Infinity Gauntlet,Wii,2010,Action,THQ,0.22,0.04,0.0,0.02,0.28,Nintendo
Dead Rising 2: Off the Record,X360,2011,Action,Capcom,0.17,0.09,0.0,0.02,0.28,Xbox
Power Pro Kun Pocket 3,GBA,2001,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.01,0.28,Nintendo
Myst III: Exile,PS2,2002,Adventure,Ubisoft,0.14,0.11,0.0,0.04,0.28,PlayStation
Castlevania: Aria of Sorrow,GBA,2003,Platform,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.28,Nintendo
NBA 2K12,PSP,2011,Sports,Take-Two Interactive,0.22,0.03,0.0,0.03,0.28,PlayStation
R.U.S.E.,PC,2010,Strategy,Ubisoft,0.04,0.19,0.0,0.05,0.28,PC
Mobile Suit Gundam Side Story I: Senritsu no Blue,SAT,1996,Shooter,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,Sega
Armored Core: Project Phantasma,PS,1997,Simulation,From Software,0.06,0.04,0.15,0.02,0.28,PlayStation
Donkey Kong GB: Dinky Kong & Dixie Kong,GB,2000,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,Nintendo
Kobitodzukan: Kobito Kansatsu Set,3DS,2012,Misc,Nippon Columbia,0.0,0.0,0.28,0.0,0.28,Nintendo
ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,0.26,0.0,0.0,0.02,0.28,Nintendo
Pro Evolution Soccer 2013,PSP,2012,Sports,Konami Digital Entertainment,0.0,0.07,0.18,0.03,0.28,PlayStation
Deadpool,PS4,2015,Action,Activision,0.13,0.1,0.0,0.05,0.28,PlayStation
Nichibutsu Arcade Classics,SNES,1995,Misc,Nichibutsu,0.0,0.0,0.28,0.0,0.28,Nintendo
Kenka Bancho: Badass Rumble,PSP,2008,Action,Spike,0.06,0.0,0.2,0.01,0.27,PlayStation
Cabela's Trophy Bucks,PS2,2007,Sports,Activision Value,0.13,0.11,0.0,0.04,0.27,PlayStation
Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,2007,Misc,Nintendo,0.0,0.0,0.27,0.0,0.27,Nintendo
Q-Ball: Billiards Master,PS2,2000,Sports,Take-Two Interactive,0.13,0.1,0.0,0.04,0.27,PlayStation
Mr. Do!,2600,1982,Action,Coleco,0.26,0.02,0.0,0.0,0.27,Atari
How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit,0.05,0.2,0.0,0.02,0.27,Nintendo
Boogie,DS,2007,Misc,Electronic Arts,0.25,0.0,0.0,0.02,0.27,Nintendo
Tao Feng: Fist of the Lotus,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.27,Xbox
Rapala Pro Bass Fishing 2010,PS3,2010,Sports,Activision,0.18,0.06,0.0,0.03,0.27,PlayStation
Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,1996,Fighting,Tomy Corporation,0.0,0.0,0.26,0.02,0.27,PlayStation
Dragon Ball Z: Budokai 2,GC,2004,Fighting,Atari,0.21,0.06,0.0,0.01,0.27,Nintendo
Motocross Maniacs Advance,GBA,2002,Racing,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.27,Nintendo
Resident Evil 2: Dual Shock Edition,PS,1998,Action,Capcom,0.0,0.0,0.26,0.02,0.27,PlayStation
Dynasty Warriors,PS,1997,Action,Tecmo Koei,0.09,0.06,0.11,0.02,0.27,PlayStation
M&M's Blast!,GBA,2001,Puzzle,Unknown,0.2,0.07,0.0,0.0,0.27,Nintendo
Zumba Fitness: World Party,Wii,2013,Misc,Majesco Entertainment,0.14,0.11,0.0,0.03,0.27,Nintendo
Need for Speed: Most Wanted,DS,2005,Racing,Electronic Arts,0.24,0.01,0.0,0.02,0.27,Nintendo
Final Fantasy X International,PS2,2004,Role-Playing,Square Enix,0.0,0.0,0.27,0.0,0.27,PlayStation
Tiny Toon Adventures: Plucky's Big Adventure,PS,2001,Action,Conspiracy Entertainment,0.15,0.1,0.0,0.02,0.27,PlayStation
NHL Hitz 20-02,XB,2001,Sports,Midway Games,0.2,0.06,0.0,0.01,0.27,Xbox
Iron Man 2,X360,2010,Action,Sega,0.15,0.1,0.0,0.03,0.27,Xbox
Littlest Pet Shop: Beach Friends,DS,2009,Simulation,Electronic Arts,0.25,0.0,0.0,0.02,0.27,Nintendo
Trivial Pursuit,PS2,2009,Misc,Electronic Arts,0.09,0.01,0.0,0.17,0.27,PlayStation
Suikoden Tierkreis,DS,2008,Role-Playing,Konami Digital Entertainment,0.09,0.01,0.15,0.01,0.27,Nintendo
Evil Dead: Hail to the King,PS,2000,Adventure,THQ,0.15,0.1,0.0,0.02,0.27,PlayStation
Dragon Ball GT: Final Bout,PS,1997,Fighting,Namco Bandai Games,0.02,0.02,0.22,0.02,0.27,PlayStation
Burstrick: Wake Boarding!!,PS,2000,Sports,Natsume,0.15,0.1,0.0,0.02,0.27,PlayStation
Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,Acclaim Entertainment,0.15,0.1,0.0,0.02,0.27,PlayStation
Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.09,0.12,0.02,0.04,0.27,PlayStation
R.U.S.E.,X360,2010,Strategy,Ubisoft,0.12,0.12,0.0,0.03,0.27,Xbox
Hatsune Miku: Project Diva f,PS3,2013,Misc,Sega,0.08,0.0,0.19,0.01,0.27,PlayStation
Resident Evil: Deadly Silence,DS,2006,Action,Capcom,0.12,0.03,0.11,0.01,0.27,Nintendo
Pac-Pix,DS,2005,Puzzle,Namco Bandai Games,0.16,0.0,0.1,0.01,0.27,Nintendo
Beamrider,2600,1984,Racing,Activision,0.26,0.01,0.0,0.0,0.27,Atari
EyePet,PSP,2010,Simulation,Sony Computer Entertainment,0.02,0.17,0.0,0.09,0.27,PlayStation
The Evil Within,PC,2014,Action,Bethesda Softworks,0.09,0.16,0.0,0.02,0.27,PC
Athens 2004,PS2,2004,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.27,PlayStation
Gunship,PS,1996,Simulation,Microprose,0.15,0.1,0.0,0.02,0.27,PlayStation
Jikkyou Powerful Pro Yakyuu Portable 4,PSP,2009,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27,PlayStation
SD Gundam G Generation Portable,PSP,2006,Strategy,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27,PlayStation
Sydney 2000,PS,2000,Sports,Eidos Interactive,0.15,0.1,0.0,0.02,0.27,PlayStation
Pro Race Driver,PS2,2002,Racing,Codemasters,0.13,0.1,0.0,0.03,0.27,PlayStation
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003,Role-Playing,Nintendo,0.21,0.05,0.0,0.01,0.27,Nintendo
Bishoujo Senshi Sailormoon R,SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27,Nintendo
The Club,X360,2008,Shooter,Sega,0.15,0.1,0.0,0.02,0.27,Xbox
Slam Dunk: Yonkyo Taiketsu!!,SNES,1994,Sports,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27,Nintendo
Rhythm Thief & the Emperor's Treasure,3DS,2012,Misc,Sega,0.07,0.07,0.12,0.01,0.27,Nintendo
Rocky: Legends,PS2,2004,Action,Ubisoft,0.13,0.1,0.0,0.03,0.27,PlayStation
NickToons: Racing,GBA,2002,Racing,Infogrames,0.19,0.07,0.0,0.0,0.27,Nintendo
MotionSports: Adrenaline,X360,2011,Sports,Ubisoft,0.14,0.1,0.0,0.03,0.27,Xbox
Tiger Woods PGA Tour 07,PSP,2006,Sports,Electronic Arts,0.2,0.04,0.0,0.04,0.27,PlayStation
NHL 07,X360,2006,Sports,Electronic Arts,0.25,0.01,0.0,0.02,0.27,Xbox
Bridge,2600,1980,Misc,Activision,0.25,0.02,0.0,0.0,0.27,Atari
G-Force,PS2,2009,Action,Disney Interactive Studios,0.12,0.01,0.0,0.14,0.27,PlayStation
The Adventures of Tintin: The Game,PS3,2011,Action,Ubisoft,0.06,0.16,0.0,0.05,0.27,PlayStation
RalliSport Challenge 2,XB,2004,Racing,Microsoft Game Studios,0.18,0.08,0.0,0.01,0.27,Xbox
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,GB,1996,Role-Playing,ChunSoft,0.0,0.0,0.27,0.0,0.27,Nintendo
Wave Rally,PS2,2001,Racing,Eidos Interactive,0.13,0.1,0.0,0.03,0.27,PlayStation
Over the Hedge,GBA,2006,Platform,Activision,0.19,0.07,0.0,0.0,0.27,Nintendo
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.1,0.08,0.06,0.04,0.27,PlayStation
Disney's Chicken Little,GC,2005,Platform,Disney Interactive Studios,0.21,0.05,0.0,0.01,0.27,Nintendo
Battle of Giants: Mutant Insects,DS,2010,Strategy,Ubisoft,0.09,0.15,0.0,0.03,0.27,Nintendo
Ty the Tasmanian Tiger,GC,2002,Platform,Electronic Arts,0.21,0.05,0.0,0.01,0.27,Nintendo
Sengoku Basara 4,PS3,2014,Action,Capcom,0.0,0.0,0.27,0.0,0.27,PlayStation
Yu-Gi-Oh! The Sacred Cards (JP weekly sales),GBA,2002,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.26,0.01,0.27,Nintendo
WWE Road to WrestleMania X8,GBA,2002,Fighting,THQ,0.19,0.07,0.0,0.0,0.27,Nintendo
Medarot 3: Kabuto / Kuwagata Version,GB,2000,Role-Playing,Imagineer,0.0,0.0,0.27,0.0,0.27,Nintendo
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004,Role-Playing,Square Enix,0.13,0.1,0.0,0.03,0.27,PlayStation
Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.08,0.14,0.0,0.05,0.27,PlayStation
NASCAR 06: Total Team Control,XB,2005,Racing,Electronic Arts,0.2,0.06,0.0,0.01,0.27,Xbox
Bratz: The Movie,Wii,2007,Simulation,THQ,0.24,0.01,0.0,0.02,0.27,Nintendo
